1author,EO/Li,PEOwt,LiTFSIwt,polymw,temp,temprat,conduct
S. Das,12,62.58608893,37.41391107,400000,30,1.5,6.31E-05
S. Das,12,62.58608893,37.41391107,400000,25.5,1.275,3.98E-05
S. Das,12,62.58608893,37.41391107,400000,21.1,1.055,2.00E-05
S. Das,12,62.58608893,37.41391107,400000,14.4,0.72,0.00001
S. Das,12,62.58608893,37.41391107,400000,11.1,0.555,6.31E-06
S. Das,12,62.58608893,37.41391107,400000,4.78,0.239,3.16E-06
S. Das,12,62.58608893,37.41391107,400000,0.224,0.0112,1.58E-06
S. Das,12,62.58608893,37.41391107,400000,-5.12,-0.256,0.000001
S. Das,12,62.58608893,37.41391107,400000,-9.84,-0.492,5.01E-07
S. Das,12,62.58608893,37.41391107,400000,-15.3,-0.765,2.51E-07
S. Das,12,62.58608893,37.41391107,400000,-19.8,-0.99,7.94E-08
S. Das,12,62.58608893,37.41391107,400000,-24.9,-1.245,3.16E-08
S. Das,12,62.58608893,37.41391107,400000,-29.1,-1.455,1.58E-08
S. Das,12,62.58608893,37.41391107,400000,-34.9,-1.745,5.01E-09
A. Gupta,1,12.23409093,87.76590907,4000000,100,5,0.398107171
A. Gupta,1,12.23409093,87.76590907,4000000,94.6,4.73,0.281838293
A. Gupta,1,12.23409093,87.76590907,4000000,89.3,4.465,0.204173794
A. Gupta,1,12.23409093,87.76590907,4000000,85.4,4.27,0.144543977
A. Gupta,1,12.23409093,87.76590907,4000000,80.4,4.02,0.097723722
A. Gupta,1,12.23409093,87.76590907,4000000,75.4,3.77,0.064565423
A. Gupta,1,12.23409093,87.76590907,4000000,69.5,3.475,0.039810717
A. Gupta,1,12.23409093,87.76590907,4000000,64.8,3.24,0.02630268
A. Gupta,1,12.23409093,87.76590907,4000000,60.3,3.015,0.016595869
A. Gupta,1,12.23409093,87.76590907,4000000,54.9,2.745,0.009549926
A. Gupta,1,12.23409093,87.76590907,4000000,50.6,2.53,0.000912011
A. Gupta,1,12.23409093,87.76590907,4000000,45.5,2.275,0.000165959
A. Gupta,1,12.23409093,87.76590907,4000000,39.5,1.975,3.55E-05
A. Gupta,1,12.23409093,87.76590907,4000000,34.7,1.735,6.76E-06
A. Gupta,1,12.23409093,87.76590907,4000000,30,1.5,1.70E-06
Heng Zhang,20,73.60007003,26.39992997,5000000,100,5,0.001995262
Heng Zhang,20,73.60007003,26.39992997,5000000,90,4.5,0.001258925
Heng Zhang,20,73.60007003,26.39992997,5000000,80,4,0.001
Heng Zhang,20,73.60007003,26.39992997,5000000,70,3.5,0.000630957
Heng Zhang,20,73.60007003,26.39992997,5000000,60,3,0.000398107
Heng Zhang,20,73.60007003,26.39992997,5000000,50,2.5,0.000125893
Heng Zhang,20,73.60007003,26.39992997,5000000,40,2,3.16E-05
Heng Zhang,20,73.60007003,26.39992997,5000000,30,1.5,0.00001
M. Marzantowicz,6,45.54464384,54.45535616,5000000,85,4.25,0.000251189
M. Marzantowicz,6,45.54464384,54.45535616,5000000,80,4,0.000199526
M. Marzantowicz,6,45.54464384,54.45535616,5000000,75,3.75,0.000125893
M. Marzantowicz,6,45.54464384,54.45535616,5000000,70,3.5,0.0001
M. Marzantowicz,6,45.54464384,54.45535616,5000000,65,3.25,7.94E-05
M. Marzantowicz,6,45.54464384,54.45535616,5000000,60,3,5.01E-05
M. Marzantowicz,6,45.54464384,54.45535616,5000000,55,2.75,6.31E-06
M. Marzantowicz,6,45.54464384,54.45535616,5000000,50,2.5,3.98E-07
M. Marzantowicz,6,45.54464384,54.45535616,5000000,45,2.25,7.94E-08
M. Marzantowicz,6,45.54464384,54.45535616,5000000,30,1.5,2.00E-09
M. Marzantowicz,6,45.54464384,54.45535616,5000000,25,1.25,7.94E-10
M. Marzantowicz,6,45.54464384,54.45535616,5000000,25,1.25,3.98E-10
M. Marzantowicz,6,45.54464384,54.45535616,5000000,20,1,3.16E-10
M. Marzantowicz,50,87.45251103,12.54748897,5000000,82,4.1,0.000316228
M. Marzantowicz,50,87.45251103,12.54748897,5000000,77,3.85,0.000251189
M. Marzantowicz,50,87.45251103,12.54748897,5000000,74,3.7,0.000199526
M. Marzantowicz,50,87.45251103,12.54748897,5000000,67,3.35,0.000125893
M. Marzantowicz,50,87.45251103,12.54748897,5000000,63,3.15,7.94E-05
M. Marzantowicz,50,87.45251103,12.54748897,5000000,63,3.15,5.01E-05
M. Marzantowicz,50,87.45251103,12.54748897,5000000,58,2.9,0.00001
M. Marzantowicz,50,87.45251103,12.54748897,5000000,54,2.7,3.16E-06
M. Marzantowicz,50,87.45251103,12.54748897,5000000,48,2.4,1.26E-06
M. Marzantowicz,50,87.45251103,12.54748897,5000000,44,2.2,6.31E-07
M. Marzantowicz,50,87.45251103,12.54748897,5000000,39,1.95,3.16E-07
M. Marzantowicz,50,87.45251103,12.54748897,5000000,39,1.95,0.0000001
M. Marzantowicz,50,87.45251103,12.54748897,5000000,35,1.75,5.01E-08
M. Marzantowicz,50,87.45251103,12.54748897,5000000,35,1.75,3.98E-08
M. Marzantowicz,50,87.45251103,12.54748897,5000000,29,1.45,3.98E-08
M. Marzantowicz,50,87.45251103,12.54748897,5000000,29,1.45,2.51E-08
M. Marzantowicz,50,87.45251103,12.54748897,5000000,25,1.25,2.00E-08
M. Marzantowicz,50,87.45251103,12.54748897,5000000,20,1,0.00000001
Yue Lin,,60,40,4000000,100.13,5.0065,0.000467735
Yue Lin,,60,40,4000000,89.32,4.466,0.000380189
Yue Lin,,60,40,4000000,79.11,3.9555,0.000251189
Yue Lin,,60,40,4000000,71.83,3.5915,0.000218776
Yue Lin,,60,40,4000000,61.45,3.0725,0.000125893
Yue Lin,,60,40,4000000,54.87,2.7435,7.76E-05
Yue Lin,,60,40,4000000,51.68,2.584,6.31E-05
Yue Lin,,60,40,4000000,39.5,1.975,1.95E-05
Yue Lin,,60,40,4000000,32.81,1.6405,8.51E-06
Yue Lin,,60,40,4000000,25.51,1.2755,4.27E-06
experiments,,85,15,4000000,25,1.25,4.29E-08
experiments,,85,15,4000000,30,1.5,9.40E-08
experiments,,85,15,4000000,45,2.25,2.60E-07
experiments,,85,15,4000000,65,3.25,9.55E-06
experiments,,85,15,4000000,25,1.25,4.56E-08
experiments,,85,15,4000000,30,1.5,1.06E-08
experiments,,85,15,4000000,45,2.25,2.11E-07
experiments,,85,15,4000000,25,1.25,5.04E-08
experiments,,85,15,4000000,30,1.5,1.07E-07
experiments,,85,15,4000000,45,2.25,3.74E-07
experiments,,75,25,4000000,25,1.25,4.74E-07
experiments,,75,25,4000000,30,1.5,7.43E-07
experiments,,75,25,4000000,45,2.25,5.06E-06
experiments,,75,25,4000000,25,1.25,4.69E-07
experiments,,75,25,4000000,30,1.5,6.41E-07
experiments,,75,25,4000000,45,2.25,3.77E-06
experiments,,75,25,4000000,25,1.25,4.14E-07
experiments,,75,25,4000000,30,1.5,9.23E-07
experiments,,75,25,4000000,45,2.25,6.48E-06
experiments,,65,35,4000000,25,1.25,2.86E-06
experiments,,65,35,4000000,30,1.5,4.83E-06
experiments,,65,35,4000000,45,2.25,8.26E-06
experiments,,65,35,4000000,25,1.25,2.49E-06
experiments,,65,35,4000000,30,1.5,7.31E-06
experiments,,65,35,4000000,45,2.25,1.43E-05
experiments,,65,35,4000000,25,1.25,1.50E-06
experiments,,65,35,4000000,30,1.5,2.87E-06
experiments,,65,35,4000000,45,2.25,7.66E-06
experiments,,55,45,4000000,25,1.25,1.82853E-06
experiments,,55,45,4000000,35,1.75,4.32486E-06
experiments,,55,45,4000000,45,2.25,7.6753E-06
experiments,,55,45,4000000,25,1.25,2.04675E-06
experiments,,55,45,4000000,35,1.75,3.16789E-06
experiments,,55,45,4000000,25,1.25,2.33502E-06
experiments,,55,45,4000000,35,1.75,4.01096E-06
experiments,,45,55,4000000,25,1.25,2.23031E-06
experiments,,45,55,4000000,35,1.75,3.55257E-06
experiments,,45,55,4000000,25,1.25,1.72694E-06
experiments,,45,55,4000000,35,1.75,3.76787E-06
experiments,,45,55,4000000,25,1.25,1.41698E-06
experiments,,45,55,4000000,35,1.75,2.33502E-06
experiments,,35,65,4000000,25,1.25,6.93667E-07
experiments,,35,65,4000000,35,1.75,1.22502E-06
experiments,,35,65,4000000,25,1.25,8.10031E-07
experiments,,35,65,4000000,35,1.75,1.88394E-06
experiments,,35,65,4000000,25,1.25,1.15935E-06
experiments,,35,65,4000000,35,1.75,2.89162E-06
