Article,1author,add1,add1wt,add2,add2wt,add3,add3wt,peomw,peowt,polymw,temp,conduct
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99393691,400000,30,6.30957E-05
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99396019,400000,25.5,3.98107E-05
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99398005,400000,21.1,1.99526E-05
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99399,400000,14.4,0.00001
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99399369,400000,11.1,6.30957E-06
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99399684,400000,4.78,3.16228E-06
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99399842,400000,0.224,1.58489E-06
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.993999,400000,-5.12,0.000001
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.9939995,400000,-9.84,5.01187E-07
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99399975,400000,-15.3,2.51189E-07
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99399992,400000,-19.8,7.94328E-08
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99399997,400000,-24.9,3.16228E-08
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99399998,400000,-29.1,1.58489E-08
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99399999,400000,-34.9,5.01187E-09
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,100,0.398107171
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,94.6,0.281838293
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,89.3,0.204173795
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,85.4,0.144543977
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,80.4,0.097723722
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,75.4,0.064565423
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,69.5,0.039810717
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,64.8,0.02630268
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,60.3,0.016595869
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,54.9,0.009549926
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,50.6,0.000912011
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,45.5,0.000165959
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,39.5,3.54813E-05
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,34.7,6.76083E-06
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,30,1.69824E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35446547,LiTFSI,0.641805008,urea,0.003729518,100000,99.35446547,100000,69.5,1.58489E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35446547,LiTFSI,0.641805008,urea,0.003729518,100000,99.35446547,100000,59.2,0.000001
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35446547,LiTFSI,0.641805008,urea,0.003729518,100000,99.35446547,100000,49.6,3.16228E-07
