Article,1author,add1,add1wt,add2,add2wt,add3,add3wt,peomw,peowt,polymw,temp rat,temp,conduct
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99393691,400000,1.5,30,6.31E-05
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99396019,400000,1.275,25.5,3.98E-05
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99398005,400000,1.055,21.1,2.00E-05
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99399,400000,0.72,14.4,0.00001
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99399369,400000,0.555,11.1,6.31E-06
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99399684,400000,0.239,4.78,3.16E-06
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99399842,400000,0.0112,0.224,1.58E-06
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.993999,400000,-0.256,-5.12,0.000001
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.9939995,400000,-0.492,-9.84,5.01E-07
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99399975,400000,-0.765,-15.3,2.51E-07
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99399992,400000,-0.99,-19.8,7.94E-08
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99399997,400000,-1.245,-24.9,3.16E-08
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99399998,400000,-1.455,-29.1,1.58E-08
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,,400000,99.99399999,400000,-1.745,-34.9,5.01E-09
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,5,100,0.398107171
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,4.73,94.6,0.281838293
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,4.465,89.3,0.204173795
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,4.27,85.4,0.144543977
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,4.02,80.4,0.097723722
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,3.77,75.4,0.064565423
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,3.475,69.5,0.039810717
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,3.24,64.8,0.02630268
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,3.015,60.3,0.016595869
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,2.745,54.9,0.009549926
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,2.53,50.6,0.000912011
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,2.275,45.5,0.000165959
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,1.975,39.5,3.55E-05
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,1.735,34.7,6.76E-06
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,,4000000,99.99282302,4000000,1.5,30,1.70E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35446547,LiTFSI,0.641805008,urea,0.003729518,100000,99.35446547,100000,3.475,69.5,1.58E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35446547,LiTFSI,0.641805008,urea,0.003729518,100000,99.35446547,100000,2.96,59.2,0.000001
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35446547,LiTFSI,0.641805008,urea,0.003729518,100000,99.35446547,100000,2.48,49.6,3.16E-07
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35446547,LiTFSI,0.641805008,urea,0.003729518,100000,99.35446547,100000,2.225,44.5,1.58E-07
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35446547,LiTFSI,0.641805008,urea,0.003729518,100000,99.35446547,100000,1.64,32.8,2.51E-08
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35446547,LiTFSI,0.641805008,urea,0.003729518,100000,99.35446547,100000,1.275,25.5,0.00000001
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35224226,LiTFSI,0.641790647,urea,0.005967096,100000,99.35224226,100000,3.475,69.5,0.00001
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35224226,LiTFSI,0.641790647,urea,0.005967096,100000,99.35224226,100000,2.96,59.2,5.01E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35224226,LiTFSI,0.641790647,urea,0.005967096,100000,99.35224226,100000,2.48,49.6,2.51E-06
